table_name,column_name,data_type,is_nullable,column_default
admin_announcement_reads,id,uuid,NO,gen_random_uuid()
admin_announcement_reads,announcement_id,uuid,NO,
admin_announcement_reads,admin_user_id,uuid,NO,
admin_announcement_reads,read_at,timestamp with time zone,NO,now()
admin_announcements,id,uuid,NO,gen_random_uuid()
admin_announcements,sender_id,uuid,NO,
admin_announcements,title,text,NO,
admin_announcements,message,text,NO,
admin_announcements,created_at,timestamp with time zone,NO,now()
admin_conversation_messages,id,uuid,NO,gen_random_uuid()
admin_conversation_messages,conversation_id,uuid,NO,
admin_conversation_messages,sender_id,uuid,NO,
admin_conversation_messages,message,text,NO,
admin_conversation_messages,read,boolean,YES,false
admin_conversation_messages,created_at,timestamp with time zone,NO,now()
admin_conversations,id,uuid,NO,gen_random_uuid()
admin_conversations,participant_one,uuid,NO,
admin_conversations,participant_two,uuid,NO,
admin_conversations,last_message_at,timestamp with time zone,YES,now()
admin_conversations,created_at,timestamp with time zone,NO,now()
admin_invites,id,uuid,NO,gen_random_uuid()
admin_invites,email,text,NO,
admin_invites,role,USER-DEFINED,NO,
admin_invites,invited_by,uuid,NO,
admin_invites,token,text,NO,"encode(extensions.gen_random_bytes(32), 'hex'::text)"
admin_invites,accepted,boolean,YES,false
admin_invites,accepted_at,timestamp with time zone,YES,
admin_invites,expires_at,timestamp with time zone,YES,(now() + '7 days'::interval)
admin_invites,created_at,timestamp with time zone,YES,now()
admin_sessions,id,uuid,NO,gen_random_uuid()
admin_sessions,admin_id,uuid,NO,
admin_sessions,session_token,text,NO,
admin_sessions,expires_at,timestamp with time zone,NO,
admin_sessions,created_at,timestamp with time zone,NO,now()
admin_users,id,uuid,NO,gen_random_uuid()
admin_users,email,text,NO,
admin_users,password_hash,text,NO,
admin_users,full_name,text,NO,
admin_users,is_active,boolean,NO,true
admin_users,last_login_at,timestamp with time zone,YES,
admin_users,created_at,timestamp with time zone,NO,now()
admin_users,updated_at,timestamp with time zone,NO,now()
admin_users,is_super_admin,boolean,NO,false
admin_users,can_manage_all_events,boolean,NO,false
admin_users,is_approved,boolean,YES,false
admin_users,approved_by,uuid,YES,
admin_users,approved_at,timestamp with time zone,YES,
admin_users,organization_name,text,YES,
admin_users,position,text,YES,
admin_users,organization_id,uuid,YES,
admin_users,ein,text,YES,
admin_users,avatar_url,text,YES,
admin_users,username,text,YES,
admin_users,events_per_month,text,YES,
admin_users,app_purpose,text,YES,
badges,id,uuid,NO,gen_random_uuid()
badges,name,text,NO,
badges,description,text,YES,
badges,icon,text,YES,
badges,points_required,integer,YES,0
badges,created_at,timestamp with time zone,YES,now()
challenge_pokes,id,uuid,NO,gen_random_uuid()
challenge_pokes,challenge_id,uuid,NO,
challenge_pokes,sender_id,uuid,NO,
challenge_pokes,receiver_id,uuid,NO,
challenge_pokes,poke_type,text,NO,
challenge_pokes,created_at,timestamp with time zone,NO,now()
challenges,id,uuid,NO,gen_random_uuid()
challenges,challenger_id,uuid,NO,
challenges,challenged_id,uuid,NO,
challenges,challenge_type,USER-DEFINED,NO,'monthly'::challenge_type
challenges,status,USER-DEFINED,NO,'pending'::challenge_status
challenges,start_date,timestamp with time zone,YES,
challenges,end_date,timestamp with time zone,YES,
challenges,challenger_points,integer,NO,0
challenges,challenged_points,integer,NO,0
challenges,created_at,timestamp with time zone,NO,now()
challenges,updated_at,timestamp with time zone,NO,now()
client_partner_photos,id,uuid,NO,gen_random_uuid()
